dataset,image_path,text
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00000.png,من العذاب في الآخرة، وأفضل ما رزقهم الله تعالى ومن به عليهم بالعقل الذي هو دعامة
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00001.png,لجميع الأشياء والذي لا يقدر أحدٌ في الدنيا على إصلاح معيشته
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00002.png,فقال له  إنك في منازل آبائك وأجدادك من الجبابرة الذين أسسوا الملك
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00003.png,قبلك، وشيدوه دونك، وبنوا القلاع والحصون، ومهدوا البلاد، وقادوا الجيوش
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00004.png,وكذلك طالب الآخرة مجتهد في العمل المنجي به روحه لا
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00005.png,يقدر على إتمام عمله و الحماله إلا بالعقل الذي هو سبب كل خير
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00006.png,ومفتاح كل سعادةٍ  فليس لأحد غني عن العقل  والعقل
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00007.png,مكتسب بالتجارب والأدب  وله غريزةٌ مكنونةٌ في الإنسان
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00008.png,وعلى العالم أن يبدأ بنفسه ويؤدبها بعلمه، ولا تكون غايته
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00009.png,اقتناؤه العلم لمعاونة غيره، ويكون كالعين التي يشرب منها
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00010.png,الناس ماءها وليس لها في ذلك شيءٌ من المنفعة،
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00011.png,وكدودة القز التي تحكم صنعته ولا تنتفع به  فينبغي
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00012.png,لمن يطلب العلم أن يبدأ بعظة نفسه، ثم عليه بعد ذلك
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00013.png,أن يقبسه
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00014.png,وقد ينبغي للناظر في كتابنا هذا ألا تكون غايته التصفح لتزاويقه  بل
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00015.png,يشرف على ما يتضمن من الأمثال، حتى ينتهي منه؛ ويقف عند كل مثلٍ وكلمةٍ،
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00016.png,المال الكثير، قتنازعوه بينهم؛ فأما الكبيران فإنهما أسرعا في إتلافه وإنفاقه
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00017.png,في غير وجهه
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00018.png,وأما الصغير فإنه عندما نظر ما صار إليه أخواه من إسرافهما وتخليهما من المال،
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00019.png,اقبل على نفسه يشاورها وقال: يا نفسي إنما المال يطلبه صاحبه، ويجمعه
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00020.png,من كل وجهٍ: لبقاء حاله، وصلاح معاشه ودنياه، وشرف منزلته في أعين
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00021.png,الناس، واستغنائه عما في أيديهم، وصرفه في وجهه: من صلة الرحم،  والإفضال
khatt,c:\Users\riadh\Desktop\ocr\project\data\khatt\images\train_00022.png,على الإخوان
