image_path,text
images/train_00000.png,من العذاب في الآخرة، وأفضل ما رزقهم الله تعالى ومن به عليهم بالعقل الذي هو دعامة
images/train_00001.png,لجميع الأشياء والذي لا يقدر أحدٌ في الدنيا على إصلاح معيشته
images/train_00002.png,فقال له  إنك في منازل آبائك وأجدادك من الجبابرة الذين أسسوا الملك
images/train_00003.png,قبلك، وشيدوه دونك، وبنوا القلاع والحصون، ومهدوا البلاد، وقادوا الجيوش
images/train_00004.png,وكذلك طالب الآخرة مجتهد في العمل المنجي به روحه لا
images/train_00005.png,يقدر على إتمام عمله و الحماله إلا بالعقل الذي هو سبب كل خير
images/train_00006.png,ومفتاح كل سعادةٍ  فليس لأحد غني عن العقل  والعقل
images/train_00007.png,مكتسب بالتجارب والأدب  وله غريزةٌ مكنونةٌ في الإنسان
images/train_00008.png,وعلى العالم أن يبدأ بنفسه ويؤدبها بعلمه، ولا تكون غايته
images/train_00009.png,اقتناؤه العلم لمعاونة غيره، ويكون كالعين التي يشرب منها
images/train_00010.png,الناس ماءها وليس لها في ذلك شيءٌ من المنفعة،
images/train_00011.png,وكدودة القز التي تحكم صنعته ولا تنتفع به  فينبغي
images/train_00012.png,لمن يطلب العلم أن يبدأ بعظة نفسه، ثم عليه بعد ذلك
images/train_00013.png,أن يقبسه
images/train_00014.png,وقد ينبغي للناظر في كتابنا هذا ألا تكون غايته التصفح لتزاويقه  بل
images/train_00015.png,يشرف على ما يتضمن من الأمثال، حتى ينتهي منه؛ ويقف عند كل مثلٍ وكلمةٍ،
images/train_00016.png,المال الكثير، قتنازعوه بينهم؛ فأما الكبيران فإنهما أسرعا في إتلافه وإنفاقه
images/train_00017.png,في غير وجهه
images/train_00018.png,وأما الصغير فإنه عندما نظر ما صار إليه أخواه من إسرافهما وتخليهما من المال،
images/train_00019.png,اقبل على نفسه يشاورها وقال: يا نفسي إنما المال يطلبه صاحبه، ويجمعه
images/train_00020.png,من كل وجهٍ: لبقاء حاله، وصلاح معاشه ودنياه، وشرف منزلته في أعين
images/train_00021.png,الناس، واستغنائه عما في أيديهم، وصرفه في وجهه: من صلة الرحم،  والإفضال
images/train_00022.png,على الإخوان
images/train_00023.png,فرأيت أن أطلب الاشتغال بالطب ابتغاء الآخرة: لئلا أكون كالتاجر الذي باع
images/train_00024.png,فأقبلت على مداواة المرضى ابتغاء أجر الآخرة، فلم أدع
images/train_00025.png,أن يخف عنه بعض المرض، إلا بالغت في مداواته @
images/train_00026.png,ما أمكنني القيام عليه بنفسي؛ ومن لم أقدر على القيام عليه
images/train_00027.png,وصفت له ما يصلح، وأعطيته من الدواء ما يعالج به
images/train_00028.png,ـ@ ولم أرد ممن فعلت معه ذلك جزاءً ؛ ولم أغبط أحداً
images/train_00029.png,من نظرائي الذين هم دوني في العلم وفوقي في الجاه
images/train_00030.png,والمال وغيرهما مما لا يعود بصلاح ولا حسن سيرةٍ قولاً ولا عملاً
images/train_00031.png,فقلت: يا نفس، أما تعرفين نفعك من ضرك؟
images/train_00032.png,وكأن الدنيا جذلة مسرورةٌ تقول: قد جبت الخيرات وأظهرت السيئات  فلما فكرت في الدنيا وأمورها؛ وأن الإنسان هو أترف
images/train_00033.png,الخلق فيها وأفضله؛ ثم هو لا يتقلب إلا في الشرور و اطعم عرفت أنه ليس إنسانٌ ذو عقلٍ يعلم ذلك ثم لا يحتال لنفسه
images/train_00034.png,في النجاة؛ فعجبت من ذلك كل العجب
images/train_00035.png,إن طبائع الخلق مختلفة  وليس مما خلقه الله في الدنيا مما يمشي على أربع
images/train_00036.png,أو على رجلين أو يطير بجناحين شيء هو @ أفضل من الإنسان،
images/train_00037.png,ولكن من الناس البر والفاجر  وقد يكون في بعض البهائم والسباع
images/train_00038.png,والطير ما هو أوفى منه ذمة، وأشد محاماة على حرمه، وأشكر
images/train_00039.png,للمعروف، وأقوم به،
images/train_00040.png,وقد يأخذ ابن عرس فيدخله في كمه ويخرجه من الآخر، كالذي يحمل
images/train_00041.png,ما يصنع إليهم على قدر ما يرى منهم
images/train_00042.png,إن طبائع الخلق مختلفة. وليس مما خلقه الله في الدنيا مما يمشي على أربع أو على رجلين
images/train_00043.png,وقد يأخذ ابن عرس فيدخله في كمه ويخرجه من الآخر، كالذي يحمل الطائر على يده، فإذا صاد شيئاً انتفع
images/train_00044.png,الصين هي أكبر دولة منتجة للأجهزة الكهربائية المنزلية في العالم، وفي عام الفين وسبعه
images/train_00045.png,بلغت قيمة صادراتها من التلفزيونات والثلاجات @ والغسالات والهواتف النقالة
images/train_00046.png,ما يقارب ثمانيه وخمسين مليار دولار أمريكي  بيد أن الفائض الكبير الذي تحققه الصين في تجارتها
images/train_00047.png,الخارجية أثار احتكاكات تجارية بينها وبين بعض الدول وخاصة المصدرة
images/train_00048.png,ولا شك أن ارتفاع قيمة الصادرات ساهمت كثيرا في نمو الاقتصاد الصيني غير أن قيمة الصادرات
images/train_00049.png,الصينية تتراجع بسبب الأزمة المالية العالمية، ولهذا توجهت شركات الأجهزة الكهربائية
images/train_00050.png,المنزلية الصينية إلى أسواق الريف الصيني، في محاولة لتعويض خسارتها الناجمة عن تراجع
images/train_00051.png,الصادرات  هذه التحليلات والاستراتيجيات الاقتصادية لا تعني شيئا بالنسبة  لمن
images/train_00052.png,يقطن قرية نائية
images/train_00053.png,"عندما بدأ تطبيق مشروع ""وصول الأجهزة الكهربائية المنزلية إلى الريف"" في مدينة لينيي"
images/train_00054.png,"تقول تشنغ رو هونغ (33 سنة): ""الناس حاليا يهتمون بنوعية حياتهم ويعيشون بطريقة"
images/train_00055.png,تتوفر لها الظروف المادية الكافية ونمط الحياة الجيد
images/train_00056.png,ويعتقد الخبير السكاني تسنغ يي بينغ ، الأستاذ في جامعة بكين، أن
images/train_00057.png,"عملية التصنيع  سبب لتأخير سن الإنجاب  ويقول: ""اختفى الاقتصاد"
images/train_00058.png,الأسري التقليدي وتغير @  نمط الإنتاج كليا، وأصبح التعليم عملية
images/train_00059.png,ممتدة طويلة، حيث يقضي الفرد وقتا أطول لاكتساب مهارات الحياة،
images/train_00060.png,"وتدبير المال استعدادا الإنجاب، فتختار النساء الإنجاب في سن كبيرة"""
images/train_00061.png,ويرى تونغ شين، الأستاذ بكلية العلوم الاجتماعية في جامعة بكين، أن
images/train_00062.png,"تأخير سن الإنجاب يرتبط بارتفاع مكانة النساء في المجتمع  ""مع ارتفاع المستوى"
images/train_00063.png,التعليمي للمرأة، لم يعد دورها في المجتمع مجرد وسيلة للتكاثر  لم تعد المرأة
images/train_00064.png,بحاجة إلى تثبيت مكانتها في الأسرة عن طريق الإنجاب، فقد ضعف مفهوم
images/train_00065.png,التكاثر في المجتمع
images/train_00066.png,"تقول لو دي، الموظفة في شركة أجنبية: ""يعتقد غالبية الناس حاليا أنهم يعيشون"
images/train_00067.png,"من أجل أنفسهم فقط، وهذا الرأي هو التيار الرئيسي في المجتمع""  تشعر لو دي بالندم لأنها"
images/train_00068.png,أصبحت أما ، وتغبط الحوامل الكبيرات السن لأن بوسعهن أن يعملن وقتا
images/train_00069.png,أطول بما يساعدهن على تحقيق طموحاتهن والاستمتاع بفترة شبابهن
images/train_00070.png,"يي: ""تأخير سن الإنجاب يؤدي إلى انخفاض معدل الإنجاب  لم يكن تأخير سن"
images/train_00071.png,الإنجاب يمثل مشكلة عندما كان معدل الإنجاب عاليا، ولكن مع انخفاض معدل
images/train_00072.png,"الإنجاب، صار تأخير سن الإنجاب مشكلة في هذا العصر تماما وموكدا"""
images/train_00073.png,تغير مفهوم الإنجاب عند الصينيين في الريف أيضا، مع هجرة كثير من أهل
images/train_00074.png,الريف إلى المدن للعمل لفترة ثم العودة إلى قراهم، حيث انخفض معدل
images/train_00075.png,الإنجاب في المناطق الريفية كثيرا وقد كشف استبيان حول مفهوم الإنجاب،
images/train_00076.png,عن وجود اختلاف واضح بين الريفيات اللاتي عملن في المدن واللاتي
images/train_00077.png,لم يغادرن الريف
images/train_00078.png,فالمجموعة الأولى تفضل الإنجاب في سن متأخرة وتباعد فترات الحمل وإنجاب
images/train_00079.png,عدد قليل من الأطفال، بل طفل واحد  وفي معظم الأحوال، يؤخر ويفضل
